FID,ddd,dist
5679,914.382032,278.7036434
5287,914.6022643,278.7707702
1396,914.6760271,278.793253
3054,914.8389234,278.8429039
3769,914.8856894,278.8571581
1434,914.8857931,278.8571897
5850,914.9419353,278.8743019
1751,915.0079757,278.894431
4460,915.1818973,278.9474423
6013,915.2820676,278.9779742
875,915.2969314,278.9825047
2799,915.3970199,279.0130117
4830,915.5569249,279.0617507
5763,916.0501454,279.2120843
219,916.1713883,279.2490392
140,916.2447932,279.271413
2025,916.3427807,279.3012795
2923,916.4092539,279.3215406
2680,916.4425693,279.3316951
3509,916.5758561,279.372321
5572,916.6874334,279.4063297
3583,917.1116903,279.5356432
3144,917.2366117,279.5737193
213,917.6717083,279.7063367
4824,917.8729833,279.7676853
3607,918.2792422,279.891513
5138,918.2946724,279.8962161
1554,918.3593991,279.9159449
1413,919.0986787,280.1412773
1957,919.3946457,280.231488
662,919.4399806,280.2453061
3864,919.5800794,280.2880082
1095,919.8923225,280.3831799
2641,919.9187939,280.3912484
3199,919.9745565,280.4082448
5058,920.0214644,280.4225423
203,920.1135854,280.4506208
1454,920.1191449,280.4523154
2107,920.2820453,280.5019674
3819,920.302409,280.5081743
2430,920.4605026,280.5563612
5523,920.5695326,280.5895935
3322,920.7386643,280.6411449
2831,920.7973239,280.6590243
1035,920.820887,280.6662063
2648,921.3147581,280.8167383
1883,921.3325168,280.8221511
1284,921.525973,280.8811166
4940,921.6133161,280.9077388
390,921.6178763,280.9091287
4797,921.9185963,281.0007882
6075,922.0510476,281.0411593
69,922.1534304,281.0723656
5948,922.2891701,281.1137391
5104,922.6471929,281.2228644
2287,923.1232479,281.367966
3025,923.2756405,281.4144152
5942,923.2868195,281.4178226
2930,923.3161933,281.4267757
2800,923.3455367,281.4357196
3577,923.6263864,281.5213226
1937,924.2238321,281.703424
435,924.4659897,281.7772336
1090,924.4971944,281.7867448
3588,925.1719954,281.9924242
36,925.2830994,282.0262887
4600,925.3029662,282.0323441
629,925.4218378,282.0685762
3584,925.8273998,282.1921915
2685,925.8561557,282.2009562
3610,926.0950753,282.273779
825,926.4616299,282.3855048
4582,926.9334786,282.5293243
5241,926.9865721,282.5455072
5182,927.0854344,282.5756404
3421,927.1547103,282.5967557
637,927.2528279,282.6266619
2785,927.3575996,282.6585963
3427,928.0857769,282.8805448
5258,928.2487151,282.9302084
2940,928.3533351,282.9620965
4801,928.4278386,282.9848052
41,928.4683753,282.9971608
2123,928.5497541,283.0219651
2466,928.681763,283.0622014
2867,928.9639492,283.1482117
3255,929.0275928,283.1676103
3034,929.1853427,283.2156924
1052,929.2200482,283.2262707
821,929.5013465,283.3120104
932,929.7647425,283.3922935
2718,929.9656964,283.4535443
6093,930.0221867,283.4707625
2469,930.034125,283.4744013
3082,930.7191319,283.6831914
6207,930.7371153,283.6886727
3149,930.7704589,283.6988359
5933,931.248695,283.8446022
4335,931.3429356,283.8733268
4741,931.3641062,283.8797796
1249,931.4033728,283.891748
3604,931.5683686,283.9420387
3226,931.6826924,283.9768847
6196,931.7531604,283.9983633
982,931.847794,284.0272076
3741,931.8818716,284.0375944
534,932.1675312,284.1246635
2580,932.1738781,284.1265981
1059,932.6480482,284.2711251
5890,932.8647769,284.337184
3620,933.6438911,284.574658
3196,933.8793097,284.6464136
2608,933.9533631,284.6689851
3035,933.973808,284.6752167
236,934.0221942,284.6899648
4239,934.4419065,284.8178931
438,934.513688,284.8397721
3078,934.711407,284.9000369
4864,934.8306898,284.9363942
842,934.9767046,284.9808996
2250,935.3416284,285.0921283
2059,935.3837828,285.104977
4924,935.535867,285.1513323
5216,935.6041844,285.1721554
4032,935.6233033,285.1779828
2404,935.851266,285.2474659
5340,935.8595782,285.2499994
5134,935.9277819,285.2707879
1148,936.1241306,285.330635
2829,937.0539877,285.6140555
3368,937.4097326,285.7224865
744,937.9394666,285.8839494
3005,937.9872622,285.8985175
3910,938.063502,285.9217554
2920,938.1211015,285.9393117
1654,938.3514637,286.0095261
5236,938.6062428,286.0871828
3121,938.6275148,286.0936665
6,938.8011635,286.1465946
2251,938.831476,286.1558339
5971,938.8742167,286.1688612
3778,938.8995816,286.1765925
3251,938.9533176,286.1929712
1467,939.2349862,286.2788238
3389,939.8402472,286.4633074
318,939.9071035,286.4836852
1019,940.2803541,286.5974519
6188,940.7216792,286.7319678
3538,940.8571884,286.773271
1037,940.9879583,286.8131297
4845,941.7740121,287.0527189
2964,941.8108181,287.0639374
1859,941.9264975,287.0991964
1621,941.9793119,287.1152943
819,942.107886,287.1544837
2820,942.2116449,287.1861094
2578,942.4590947,287.2615321
1997,942.6230041,287.3114917
4961,942.8565035,287.3826623
5959,942.9892649,287.4231279
679,943.2183367,287.492949
92,943.3797702,287.542154
4903,943.430111,287.5574978
1926,944.5177584,287.8890128
2073,944.624388,287.9215135
667,944.8887498,288.0020909
1169,944.9329835,288.0155734
853,945.1975512,288.0962136
