OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
2036,678,1,5448.519654966904500
2037,678,2,8107.612151310805500
2038,679,0,979.148951871459530
2039,679,1,2908.912417710727400
2040,679,2,5557.474327281909600
2041,680,0,1711.857316555999700
2042,680,1,3693.082730837200000
2043,680,2,6187.656117933406700
2044,681,0,1343.059351063789300
2045,681,1,2553.801067983317800
2046,681,2,5193.959510462177600
2047,682,0,928.681763013536970
2048,682,1,2892.727897573783100
2049,682,2,5549.577300909228100
2050,683,0,1775.059697813936700
2051,683,1,5535.009120868991000
2052,683,2,8196.083831675439800
2053,684,0,1364.903688862382500
2054,684,1,3252.321488782236000
2055,684,2,5816.652038916206900
2056,685,0,930.034124953029850
2057,685,1,4657.256873707802700
2058,685,2,7316.012955493482000
2059,686,0,875.378255358839280
2060,686,1,4643.621785953763700
2061,686,2,7306.476689764408500
2062,687,0,1060.489424854331900
2063,687,1,4685.547041960298000
2064,687,2,7333.671152086974000
2065,688,0,711.898693470240800
2066,688,1,4409.155724135730500
2067,688,2,7066.704705903614900
2068,689,0,900.789238612228020
2069,689,1,4651.328462966775100
2070,689,2,7312.376655678872300
2071,690,0,1410.071090459860700
2072,690,1,2763.297255876689200
2073,690,2,5360.580651863291700
2074,691,0,1690.287411716888300
2075,691,1,3491.638249610218300
2076,691,2,5989.345625347706100
2077,692,0,991.189176457800270
2078,692,1,4670.116499979726500
2079,692,2,7324.002725896775700
2080,693,0,500.206968983317780
2081,693,1,4241.449521998292800
2082,693,2,6903.676642189912900
2083,694,0,1865.751797330183100
2084,694,1,4071.715487094200400
2085,694,2,6550.398609306133900
2086,695,0,416.155836036163920
2087,695,1,3585.803021146492000
2088,695,2,6240.369075998960400
2089,696,0,1689.754471924273000
2090,696,1,2753.440468760809800
2091,696,2,5293.546322414873400
2092,697,0,1016.050500505368600
2093,697,1,4002.433007876362400
2094,697,2,6611.286490732713900
2095,698,0,792.416546112112540
2096,698,1,3052.045167513557300
2097,698,2,5709.373799269962500
2098,699,0,875.239393047720800
2099,699,1,3074.745543396067200
2100,699,2,5722.090045347053100
2101,700,0,2536.491248350170700
2102,700,1,2821.722493489882700
2103,700,2,5110.766788358631900
2104,701,0,726.048212773028240
2105,701,1,3163.040826679841800
2106,701,2,5817.826405343781500
2107,702,0,959.829128065876150
2108,702,1,3438.612423390308300
2109,702,2,6052.644180585933100
2110,703,0,1800.148153578938900
2111,703,1,2599.463437907855700
2112,703,2,5132.635503758291600
2113,704,0,1575.546264055481100
2114,704,1,3162.404848006510300
2115,704,2,5692.743188157271100
2116,705,0,2076.057838153037700
2117,705,1,4389.681999923463100
2118,705,2,6848.789076189948900
2119,706,0,2767.236871875072700
2120,706,1,2894.632600890510700
2121,706,2,5095.110200729159300
2122,707,0,488.027318454103240
2123,707,1,3291.453760786050200
2124,707,2,5954.535082105695400
2125,708,0,618.987694083666610
2126,708,1,3672.382728869589800
2127,708,2,6316.358218489515800
2128,709,0,563.367886834892150
2129,709,1,3605.574014702482100
2130,709,2,6253.866838755118800
2131,710,0,872.288984862345840
2132,710,1,4438.581559487935000
2133,710,2,7084.823626642767500
2134,711,0,448.116192572171430
2135,711,1,3418.395451673442900
2136,711,2,6076.618273008026300
2137,712,0,1560.493750883662600
2138,712,1,3978.633167835267200
2139,712,2,6509.785483526155100
2140,713,0,513.184753297696150
2141,713,1,3265.961808243204800
2142,713,2,5929.038599425006400
2143,714,0,460.493632860262380
2144,714,1,3591.333082066461000
2145,714,2,6243.468553511028400
2146,715,0,257.521470650721650
2147,715,1,4015.521988135659300
2148,715,2,6678.280427041939200
2149,716,0,1197.672368855749500
2150,716,1,2634.428810570169800
2151,716,2,5287.390658084616000
2152,717,0,386.850582493187010
2153,717,1,4150.076890363602600
2154,717,2,6813.257193731777100
2155,718,0,1597.584668288049200
2156,718,1,3045.761673467487100
2157,718,2,5578.891395928039900
2158,719,0,2464.438123170076300
2159,719,1,3204.625442263277800
2160,719,2,5505.067691519108800
2161,720,0,1712.262719095642100
2162,720,1,2539.407271753396800
2163,720,2,5102.947444439562800
2164,721,0,731.095271838359390
2165,721,1,4413.534676012173800
2166,721,2,7071.583802809846900
2167,722,0,1136.819090017816300
2168,722,1,3463.704590017578100
2169,722,2,6054.930140142636400
2170,723,0,1637.267346537667700
2171,723,1,3066.835152823714900
2172,723,2,5590.310868140695700
2173,724,0,1698.479933961375300
2174,724,1,2530.136670146456700
2175,724,2,5098.417855473668200
2176,725,0,415.113922457928200
2177,725,1,3413.368268644391300
2178,725,2,6074.645891948388500
2179,726,0,1823.306075748225800
2180,726,1,5560.157240164454400
2181,726,2,8217.266416957352700
2182,727,0,1859.759159960835900
2183,727,1,5572.329791848517700
2184,727,2,8225.304585672120100
2185,728,0,328.219530341308310
2186,728,1,3637.669375292535300
2187,728,2,6295.220680469883500
2188,729,0,628.662687820729730
2189,729,1,4168.047771801375300
2190,729,2,6817.873266174930900
2191,730,0,1565.375046475056500
2192,730,1,5298.197453389644600
2193,730,2,7955.389654582723800
2194,731,0,621.206459928557140
2195,731,1,4215.014629934814400
2196,731,2,6869.661164625012100
2197,732,0,1986.201431359401800
2198,732,1,3381.111074825658800
2199,732,2,5813.887628136488300
2200,733,0,350.753977171926920
2201,733,1,3435.518009303202200
2202,733,2,6098.005641690226200
2203,734,0,528.758636052008460
2204,734,1,4005.818222618083800
2205,734,2,6658.379726362413700
2206,735,0,631.919684972151340
2207,735,1,3331.021584133872200
