FID,distance to SAS,distance to stations before,distance decreased
394,971.4265717,157.8181117,
395,776.1225681,317.5461435,
396,670.6826702,417.0347444,-253.6479258
397,792.2273811,235.5978575,
398,863.1158234,252.733937,
399,859.5049486,295.7843818,
400,803.7240477,55.14160998,
401,750.7601116,74.77621367,
402,882.7047772,90.728297,
403,846.979832,55.87968821,
404,1009.165351,121.1268184,
405,872.7823751,202.3999117,
406,831.312394,263.4448936,
407,963.2940585,145.0301759,
408,842.2109725,60.50234201,
409,892.5270084,103.7422355,
410,1014.029315,128.985357,
411,1052.479589,125.8650317,
412,855.06049,404.8300415,-450.2304485
413,829.1956605,292.1023528,
414,849.1566498,57.55775175,
415,1044.170098,110.5604667,
416,914.774768,105.1187573,
417,1046.870575,115.4855954,
418,869.3405111,127.1485297,
419,909.8343161,261.9974774,
420,1049.622749,120.5578872,
421,993.5955903,24.81089851,
422,687.1944034,302.7226359,
423,840.490541,216.2321522,
424,1084.807403,84.91927013,
425,896.6317704,103.7572328,
426,823.6310542,409.1093994,-414.5216548
427,1096.899638,205.2319227,
428,1025.552658,209.8121799,
429,799.3657901,170.7008536,
430,1023.049749,229.5115179,
431,907.8395238,129.390878,
432,828.692477,297.799294,
433,918.0363341,198.5001105,
434,926.499417,125.647284,
435,986.8600845,281.7772337,
436,982.1518631,77.50031615,
437,950.9721661,72.63324412,
438,860.4100669,284.8397721,
439,935.4698236,139.4319396,
440,929.5012052,436.3474418,-493.1537634
441,929.6187583,131.3005832,
442,953.6727441,536.7745313,-416.8982128
443,1017.435904,300.0724019,
444,1029.791012,182.0824701,
445,931.2076017,128.0048826,
446,921.6942673,178.1133842,
447,902.4108273,110.0246477,
448,808.5860913,42.09955616,
449,938.6685621,290.7830601,
450,909.3176304,109.0529055,
451,768.0988585,439.7249235,-328.373935
452,933.3063674,111.0668181,
453,867.0618055,232.3371223,
454,885.5712638,96.27103026,
455,835.1665187,71.18922473,
456,836.91393,68.6173294,
457,940.1689722,410.3468051,-529.8221671
458,789.2544684,256.819716,
459,791.4268647,207.4825147,
460,777.2093901,162.6140786,
461,914.4222056,468.0144674,-446.4077382
462,866.3736785,69.06872562,
463,830.5875416,269.06088,
464,860.7018941,422.1341389,-438.5677552
465,750.39292,417.5663558,-332.8265642
466,998.3364162,178.3102499,
467,994.0731737,91.24238484,
468,826.0300015,87.91374984,
469,994.0502934,207.0919003,
470,866.2675928,237.2292733,
471,839.2288623,501.709057,-337.5198053
472,837.8171426,493.724326,-344.0928166
473,956.5833365,62.52965938,
474,949.2336726,76.47592011,
475,615.5736955,389.7928866,-225.7808089
476,900.077487,116.3158793,
477,1023.814868,223.1348326,
478,895.1048994,108.0092652,
479,947.3321931,202.8840967,
480,920.6931732,183.4159951,
481,797.8304611,524.5920499,-273.2384112
482,779.711311,299.1434299,
483,943.0827389,236.1889326,
484,1031.084472,160.0914408,
485,1038.516841,259.180032,
486,915.7049794,142.6725053,
487,822.0567752,96.6664832,
488,940.8372026,418.4592964,-522.3779062
